local_id,lat,lon
62494,-7.6912737,-43.719204
73622,-7.5791984,-43.66943
34989,-6.6553597,-42.534531
24820,-6.6539669,-42.535641
57062,-6.7128434,-42.562366
211772,-6.6795316,-42.521889
220628,-6.715044,-42.582409
68148,-6.5281782,-42.509144
79175,-6.6553597,-42.534531
40429,-6.6539669,-42.535641
10601,-6.6553597,-42.534531
62496,-6.682384,-42.616951
207373,-6.6125002,-42.470829
73623,-6.6543102,-42.526058
79176,-8.1826315,-43.79187
146486,-8.210228,-43.615498
105515,-8.1842346,-43.793869
62497,-8.1842346,-43.793869
57063,-8.0888882,-43.781109
569954,-9.6027203,-67.37574
564356,-9.6643009,-67.636726
523601,-9.4491968,-67.815674
443063,-9.6577101,-67.691795
62499,-9.6577101,-67.691795
566323,-9.6684132,-67.375435
84538,-9.5945787,-67.542145
472493,-9.6738081,-67.36982
34991,-9.6016703,-67.596428
470610,-9.6577101,-67.691795
10603,-9.5905228,-67.538193
46003,-9.7294264,-67.700531
68150,-9.6923876,-67.536575
24821,-9.5900717,-67.5373
207374,-9.4808788,-42.792965
175648,-9.4848671,-42.793251
224676,-9.5573568,-42.786625
397093,-9.4692488,-42.679573
202853,-9.4055586,-42.782661
220629,-9.4101629,-42.864902
198524,-9.5006704,-42.721153
216228,-9.4808788,-42.792965
194175,-9.4808788,-42.792965
358239,-5.7700114,-42.538986
156158,-5.816504,-42.509651
224677,-5.815136,-42.514969
170885,-5.815136,-42.514969
180422,-5.8173099,-42.511902
184988,-5.815136,-42.514969
175649,-5.8211656,-42.509853
337847,-7.9358339,-41.210232
361155,-7.9349484,-41.391548
245390,-7.788435,-41.1264
202854,-7.9358339,-41.210232
443064,-8.0023937,-41.462173
440926,-7.8204618,-41.075668
477792,-7.9359126,-41.210335
481166,-7.789166,-41.128891
363913,-7.9811916,-41.152981
358240,-7.9286141,-41.194599
482860,-7.9359126,-41.210335
451499,-7.789166,-41.128891
334555,-7.9358339,-41.210232
189644,-6.1830292,-42.476395
211773,-6.1090984,-42.643036
146488,-6.1203823,-42.654903
170886,-6.0960531,-42.636608
161084,-6.1513777,-42.649345
198525,-6.1567826,-42.536961
151337,-6.1049085,-42.546291
202855,-6.2046418,-42.385952
156159,-6.0768051,-42.584381
131423,-5.3270044,-42.423073
